,STOP_ID, STOP_NAME,SA3_NAME
1004,20560,70-Riversdale Rd/Glenferrie Rd (Hawthorn),Hawthorn
1005,19449,33-Berkeley St/Riversdale Rd (Hawthorn),Hawthorn
1006,19303,33-Berkeley St/Riversdale Rd (Hawthorn),Hawthorn
1007,19448,34-Kooyongkoot Rd/Riversdale Rd (Hawthorn),Hawthorn
1008,19754,34-Kooyongkoot Rd/Riversdale Rd (Hawthorn),Hawthorn
1009,19447,35-Robinson Rd/Riversdale Rd (Hawthorn),Hawthorn
1010,19755,35-Robinson Rd/Riversdale Rd (Hawthorn),Hawthorn
1011,20559,69-South St/Glenferrie Rd (Hawthorn),Hawthorn
1012,20558,69-South St/Glenferrie Rd (Hawthorn),Hawthorn
1013,20557,68-Callantina Rd/Glenferrie Rd (Hawthorn),Hawthorn
1014,20556,68-Callantina Rd/Glenferrie Rd (Hawthorn),Hawthorn
1015,20555,67-Gardiner Rd/Glenferrie Rd (Hawthorn),Hawthorn
1016,20554,67-Gardiner Rd/Glenferrie Rd (Hawthorn),Hawthorn
1017,20553,66-Vision Australia/Glenferrie Rd (Kooyong),Kooyong
1018,20552,66-Kooyong Tennis Centre/Glenferrie Rd (Toorak),Toorak
1019,20551,65-Kooyong Railway Station/Glenferrie Rd (Kooyong),Kooyong
1020,20550,65-Warra St/Glenferrie Rd (Toorak),Toorak
1021,19049,56-Anderson Rd/Burke Rd (Camberwell),Camberwell
1022,20549,64-Power St/Glenferrie Rd (Kooyong),Kooyong
1023,18959,56-Anderson Rd/Burke Rd (Hawthorn East),Hawthorn East
1024,19334,136-Irving Rd/Toorak Rd (Toorak),Toorak
1025,18783,136-Irving Rd/Toorak Rd (Toorak),Toorak
1026,20548,64-Mernda Rd/Glenferrie Rd (Kooyong),Kooyong
1027,19335,137-Kooyong Rd/Toorak Rd (Toorak),Toorak
1028,18784,137-Kooyong Rd/Toorak Rd (Toorak),Toorak
1029,19336,138-Moonga Rd/Toorak Rd (Toorak),Toorak
1030,18785,138-Moonga Rd/Toorak Rd (Toorak),Toorak
1031,18786,139-Glenbervie Rd/Toorak Rd (Toorak),Toorak
1032,19338,139-Glenferrie Rd/Toorak Rd (Toorak),Toorak
1033,20547,63-Toorak Rd/Glenferrie Rd (Kooyong),Kooyong
1034,19050,55-Middle Rd/Burke Rd (Camberwell),Camberwell
1035,18958,55-Middle Rd/Burke Rd (Hawthorn East),Hawthorn East
1036,20546,63-Toorak Rd/Glenferrie Rd (Malvern),Malvern
1037,20545,62-Mayfield Ave/Glenferrie Rd (Malvern),Malvern
1038,19051,54-Toorak Rd/Burke Rd (Camberwell),Camberwell
1039,20544,62-Mayfield Ave/Glenferrie Rd (Malvern),Malvern
1040,18957,54-Toorak Rd/Burke Rd (Glen Iris),Glen Iris
1041,20542,61-Moorakyne Ave/Glenferrie Rd (Malvern),Malvern
1042,20523,48-Hawthorn Rd/Dandenong Rd (Malvern),Malvern
1043,11285,43-Egerton Rd/Wattletree Rd (Armadale),Armadale
1044,16742,39-Auburn Gr/High St (Armadale),Armadale
1045,940,43-Egerton Rd/Wattletree Rd (Armadale),Armadale
1046,16772,39-Auburn Gr/High St (Armadale),Armadale
1047,20525,52-Dandenong Rd/Glenferrie Rd (Malvern),Malvern
1048,20524,48-Dandenong Rd/Glenferrie Rd (Malvern),Malvern
1049,20526,53-Malvern Railway Station/Glenferrie Rd (Malvern),Malvern
1050,946,44-Duncraig Ave/Wattletree Rd (Armadale),Armadale
1051,10371,44-Duncraig Ave/Wattletree Rd (Armadale),Armadale
1052,20527,53-Malvern Railway Station/Glenferrie Rd (Malvern),Malvern
1053,16771,40-Armadale Station/High St (Armadale),Armadale
1054,16743,40-Armadale Station/High St (Armadale),Armadale
1055,20528,54-Wattletree Rd/Glenferrie Rd (Malvern),Malvern
1056,947,45-Glenferrie Rd/Wattletree Rd (Malvern),Malvern
1057,16744,41-Kooyong Rd/High St (Armadale),Armadale
1058,16770,41-Kooyong Rd/High St (Armadale),Armadale
1059,10311,45-Glenferrie Rd/Wattletree Rd (Malvern),Malvern
1060,20529,54-Wattletree Rd/Glenferrie Rd (Malvern),Malvern
1061,20530,55-Llaneast St/Glenferrie Rd (Malvern),Malvern
1062,20531,55-Edsall St/Glenferrie Rd (Malvern),Malvern
1063,950,46-Nicholls St/Wattletree Rd (Malvern),Malvern
